person,title,year,unitcode,unitname,coursename,wordrelation,level,uniTime,3w,weeks,goalAttribute,overview,unit,on offer,assessment,grading type ,contact,position,campus,faculty
Caren Han,lecturer,this year,,Information Technologies and Systems,Graduate Diploma in Computing,and,postgraduate,semester 1,when,week 1,Communication and Inquiry and Research ,summary,unit code,,assignment,grade,address,,,
Josiah,professor,2022,,Professional Practice in IT,Master of IT Master of IT Management,or,undergraduate,semester 2,where,week 2,Project and Team Skills,conclusion,unit name,,home work,mark,email,,,
Jinman Kim,coordinator,2021,,Understanding IT Innovations,Software Mid-Year,all,,due time,who,week 3,Professional Effectiveness and Ethical Conduct,,,,project,marking,mobile,,,
Kevin Kuan ,tutor,2020,,Project Management in IT,Software Project Management,without,,,,week 4,Interdisciplinary Inclusiveness Influence,,,,,,phone,,,
Nguyen Tran,supervisor,2019,,Cybersecurity	 ,Software ,don't,,,,week 5,Design,,,,,,url,,,
Khimji Vaghjiani,,2018,,Computational Geometry	 ,Software Arts ,not,,,,week 6,Engineering IT Specialisation,,,,,,,,,
Ying Zhou,,2017,,Natural Language Processing	 ,Software Commerce  ,doesn't,,,,week 7,Problem Solving and Inventiveness,,,,,,,,,
Wei Bao,,2016,,Pervasive Computing	 ,Software Medical Science  ,,,,,week 8,Maths Science Methods and Tools,,,,,,,,,
,,2015,,Visual Analytics	 ,Software Music Studies  ,,,,,week 9,,,,,,,,,,
,,2014,,Mobile Computing	 ,Software Project Management ,,,,,week 10,,,,,,,,,,
,,2013,,Large Scale Networks	 ,Software Science ,,,,,week 11,,,,,,,,,,
,,2012,,Machine Learning and Data Mining	 ,Software Science ,,,,,week 12,,,,,,,,,,
,,2011,,Advanced Machine Learning	 ,Software  Law  ,,,,,week 13,,,,,,,,,,
,,2010,,Deep Learning	 ,Software Engineering  ,,,,,mid break,,,,,,,,,,
,,2009,,Advanced Data Models ,Software Engineering  ,,,,,next week,,,,,,,,,,
,,2008,,Web Application Development ,Software Engineering  ,,,,,first week,,,,,,,,,,
,,2007,,Enterprise Scale Software Architecture ,Software Engineering Medical Science  ,,,,,second week,,,,,,,,,,
,,next year,,Cloud Computing ,Software Engineering Project Management  ,,,,,,,,,,,,,,,
,,last year,,Digital Media Computing ,Software Engineering Science  ,,,,,,,,,,,,,,,
,,,,Multimedia Design and Authoring ,Graduate Certificate in Information Technology  ,,,,,,,,,,,,,,,
,,,,Advanced Network Technologies ,Graduate Certificate in Information Technology Management  ,,,,,,,,,,,,,,,
,,,,Information Technology in Biomedicine ,Graduate Diploma in Computing  ,,,,,,,,,,,,,,,
,,,,Multimedia Retrieval ,Graduate Diploma in Health Technology Innovation,,,,,,,,,,,,,,,
